,100. Floral structural sex (D1),102. Ovary position (D1),201. Number of perianth parts (C1),204. Fusion of perianth (C1),207. Symmetry of perianth (D1),230. Perianth phyllotaxy (D1),231. Number of perianth whorls (C1),232. Perianth merism (C1),234. Perianth differentiation (D1),301. Number of fertile stamens (C1),305. Filament (D1),306. Fusion of filaments (C1),308. Fusion of filaments to inner perianth series (C1),311. Anther orientation (D1),312. Anther attachment (D1),313. Anther dehiscence (D1),314. Connective extension (apical) (D1),330. Androecium structural phyllotaxy (D1),331. Number of androecium structural whorls (C1),332. Androecium structural merism (C1),400. Gynoecium phyllotaxy (D1),401. Number of structural carpels (C1),403. Fusion of ovaries (C1),404. Style differentiation (D1),406. Fusion of styles (C1),411. Number of ovules per functional carpel (C1),412. Placentation (D1),5000. Number of apertures (C1),5002. Aperture shape (D1),
Jasminum_simplicifolium,="(0)",="(0)",="4-16",="60-80%",="(0)",="(0)",="2",="4-10",="(1)",="2",="(3)",="",="20-80%",="(1)",="",="(0)",="",="(0)",="1",="2",="(0)",="2",="100%",="(5)",="100%",="2",="(0)",="3",="(0)",
Kalmiopsis_leachiana,="(0)",="(1)",="",="",="(0)",="",="",="5",="(1)",="10",="",="0%",="",="",="",="(1)",="",="",="",="",="",="5",="100%",="",="100%",="",="(0)",="",="",
Limonium_arborescens,="(0)",="(0)",="10",="90%",="(0)",="(0)",="2",="5",="(4)",="5",="(1)",="",="10%",="",="",="",="",="",="",="",="",="",="100%",="",="",="1",="(2)",="",="",
Linum_perenne,="(0)",="(0)",="10",="0-25%",="(0)",="(0)",="2",="5",="(1)",="5",="(2)",="0-50%",="",="",="",="",="",="(0)",="1",="5",="(0)",="5",="100%",="(1)",="50-100%",="2",="(0)",="3-6",="(0)",
Linum_stelleroides,="(0)",="(0)",="",="",="",="",="",="",="",="5",="(2)",="10-20%",="",="",="",="",="",="",="",="",="(0)",="5",="100%",="(1)",="",="2",="(0)",="",="",
Lithospermum_officinale,="(0)",="(0)",="10",="20-66%",="(0)",="(0)",="2",="5",="(1)",="5",="",="0%",="100%",="",="",="",="",="(0)",="1",="5",="",="2",="",="(3)",="",="",="",="",="",
Luculia_gratissima,="(0)",="(1)",="10",="10-50%",="(0)",="(0)",="2",="5",="(1)",="5",="(B)",="0%",="60-90%",="(1)",="(1)",="",="",="(0)",="1",="5",="",="",="100%",="(1)",="",="999",="(0)",="",="",
Ludwigia_adscendens,="(0)",="(1)",="10",="",="(0)",="(0)",="2",="5",="(14)",="10",="",="",="",="",="",="(0)",="",="(0)",="2",="5",="",="5",="",="(1)",="",="2-13",="",="",="",
Ludwigia_hyssopifolia,="(0)",="(1)",="8",="",="(0)",="(0)",="2",="4",="(4)",="8",="",="",="",="",="",="(0)",="",="(0)",="2",="4",="",="4",="",="(1)",="",="",="",="",="",
Ludwigia_ovalis,="(0)",="(1)",="4",="",="(0)",="(0)",="1",="4",="(0)",="4",="",="",="",="",="",="(0)",="",="(0)",="1",="4",="",="4",="",="(1)",="",="",="",="",="",
Lythrum_salicaria,="(0)",="(0)",="10-12",="92%",="(0)",="(0)",="2",="6",="(4)",="12",="(23)",="0%",="",="(0)",="(1)",="(0)",="(0)",="(0)",="",="",="(0)",="2",="100%",="(1)",="100%",="",="(0)",="3",="(2)",
Maesa_japonica,="(0)",="(2)",="",="",="(0)",="",="",="5",="(1)",="5",="",="0%",="",="(0)",="(1)",="(0)",="",="",="1",="",="",="4",="100%",="",="100%",="20",="(5)",="",="",
Maesa_lanceolata,="(0)",="(2)",="10",="",="",="(0)",="2",="5",="(1)",="5",="(3)",="",="",="(0)",="(1)",="(0)",="",="(0)",="1",="5",="",="",="",="(3)",="",="",="(5)",="3",="(2)",
Maesa_myrsinoides,="(1)",="(0)",="10-16",="10%",="",="",="",="5-8",="(1)",="",="",="",="",="(0)",="",="(0)",="",="",="",="",="",="",="",="(1)",="",="",="",="",="",
Maesa_tenera,="(2)",="(3)",="10",="50%",="(0)",="(0)",="2",="5",="(1)",="5",="(3)",="0%",="0%",="(0)",="(1)",="",="",="(0)",="1",="5",="(0)",="",="100%",="(1)",="100%",="",="",="",="",
Menyanthes_trifoliata,="(0)",="(0)",="10",="10-40%",="(5)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="0%",="(0)",="",="",="",="",="",="5",="",="2",="100%",="(25)",="100%",="8-12",="(3)",="3",="(2)",
Mitchella_repens,="(0)",="(1)",="6-12",="50-90%",="(0)",="(0)",="2",="3-6",="(1)",="3-6",="(1)",="0%",="5%",="(0)",="(0)",="",="",="(0)",="1",="3-6",="(0)",="4",="100%",="(1)",="80%",="1",="(2)",="",="",
Mostuea_brunonis,="(0)",="(0)",="10",="85%",="(2)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="10%",="(1)",="",="(0)",="(1)",="(0)",="1",="5",="(0)",="2",="100%",="(5)",="",="2",="(0)",="",="",
Nama_demissa,="(0)",="(0)",="10",="0-90%",="(0)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="50%",="",="",="",="",="(0)",="1",="5",="(0)",="2",="100%",="(1)",="75%",="",="",="3",="(2)",
Nephrophyllidium_cristagalli,="(0)",="",="10",="10-40%",="(5)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="",="(0)",="(1)",="(0)",="",="(0)",="1",="5",="",="2",="100%",="(1)",="100%",="",="(3)",="",="",
Nivenia_stokoei,="(0)",="",="6",="70%",="(0)",="(0)",="2",="3",="(0)",="3",="(2)",="",="70%",="",="(1)",="",="(0)",="(0)",="1",="3",="",="",="",="(5)",="",="",="",="1",="(0)",
Nyctanthes_arbortristis,="(0)",="(0)",="8-18",="50-100%",="(0)",="(0)",="2",="4-9",="(1)",="2-3",="(1)",="",="100%",="",="",="",="(0)",="(0)",="1",="2-3",="(0)",="2-3",="100%",="(5)",="95-100%",="",="(2)",="3",="(5)",
Nymphoides_peltata,="(0)",="(0)",="10",="10-25%",="(5)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="10%",="(0)",="(1)",="(0)",="",="(0)",="1",="5",="",="2",="100%",="(1)",="100%",="",="(34)",="3",="(0)",
Oxalis_acetosella,="(0)",="(0)",="10",="",="(0)",="(0)",="2",="5",="(1)",="10",="(2)",="",="",="",="",="(0)",="",="",="",="",="(0)",="5",="100%",="(1)",="0%",="",="(0)",="",="",
Oxalis_corniculata,="",="",="",="",="",="",="",="",="",="10",="($)",="40%",="0%",="",="(0)",="(0)",="",="",="2",="5",="(0)",="5",="100%",="(1)",="0%",="4-10",="(0)",="",="",
Oxalis_dillenii,="(0)",="(0)",="10",="30-50%",="(0)",="(0)",="2",="5",="(1)",="10",="(2)",="35%",="0%",="(02)",="(1)",="(0)",="(1)",="(0)",="2",="5",="(0)",="5",="100%",="(1)",="0%",="1-99",="(0)",="3",="(0)",
Oxalis_stricta,="(0)",="(0)",="10",="50%",="(0)",="(0)",="2",="5",="(1)",="",="",="",="",="",="",="",="",="(0)",="",="",="",="",="",="",="",="",="",="",="",
Phacelia_campanularia,="(0)",="(0)",="10",="0-90%",="(0)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="",="",="(1)",="",="(0)",="(0)",="1",="5",="(0)",="2",="100%",="(5)",="",="",="",="3",="(2)",
Plumbago_auriculata,="(0)",="(0)",="10",="14-75%",="(0)",="(0)",="2",="5",="(1)",="5",="(2)",="0%",="0%",="",="(1)",="(0)",="(0)",="",="",="",="",="1",="",="(1)",="100%",="1",="(2)",="3",="(0)",
Polygonum_aviculare,="(0)",="(0)",="5",="",="(0)",="(0)",="1",="5",="(0)",="8",="",="",="",="",="",="(0)",="",="",="",="",="",="3",="",="(1)",="0%",="0-1",="",="",="",
Pontederia_cordata,="(0)",="(0)",="6",="47-58%",="(2)",="(0)",="2",="3",="(0)",="6",="(2)",="",="",="",="(0)",="(0)",="",="(0)",="2",="3",="",="3",="",="",="",="",="",="2",="(0)",
Primula_farinosa,="(0)",="(0)",="",="",="",="",="",="",="",="5",="($)",="",="",="",="",="",="",="",="",="",="(0)",="",="",="(1)",="",="",="(5)",="",="",
Primula_sieboldii,="(0)",="(0)",="10",="50%",="(0)",="(0)",="2",="5",="(1)",="5",="(B)",="",="",="(0)",="",="(0)",="",="(0)",="1",="5",="(0)",="5",="100%",="(1)",="100%",="",="",="",="",
Primula_veris,="(0)",="(0)",="",="",="(0)",="",="",="5",="(1)",="5",="($)",="0%",="",="(0)",="(1)",="(0)",="(0)",="($)",="1",="",="",="5",="100%",="(1)",="100%",="30-150",="(5)",="",="",
Ptychopetalum_petiolatum,="(0)",="(0)",="4-5",="",="",="(0)",="1",="4-5",="(0)",="5",="",="",="0%",="",="",="",="(0)",="(0)",="1",="5",="",="",="",="(3)",="",="2",="(1)",="3",="(5)",
Pulmonaria_officinalis,="(0)",="",="10",="80-85%",="(0)",="(0)",="2",="5",="(4)",="5",="",="",="",="",="",="",="",="(0)",="1",="5",="",="2",="100%",="(1)",="",="2",="",="",="",
Punica_granatum,="(0)",="(1)",="10-14",="70%",="",="(0)",="2",="5-7",="(1)",="999",="(2)",="0%",="0%",="",="(1)",="(0)",="(0)",="",="",="",="(0)",="8-13",="",="(5)",="",="9999",="(03)",="3",="(2)",
